number_edges	density	min_degree	degree_ratio	clustering_coeff	graph_typ	WP_time	best_algorithm
100	0.22988505747126436	4	1.6499975250037124	0.09182780182780183	b'1-FullIns_3'	3.6716461181640625e-05	WP
72	0.10810810810810811	3	2.3124940581749893	0.0	b'2-Insertions_3'	3.2901763916015625e-05	WP
267	0.11055900621118013	1	1.704117616325222	0.6319071404785691	b'GEOM70'	7.843971252441406e-05	WP
459	0.19006211180124225	7	1.5250533033362612	0.7238518497817481	b'GEOM70a'	0.0001049041748046875	GreedyDSatur
488	0.2020703933747412	4	1.7213102408635568	0.6503966413980741	b'GEOM70b'	0.00010967254638671875	WP
349	0.11044303797468355	3	1.6045826881573777	0.6510274447774448	b'GEOM80'	9.608268737792969e-05	WP
612	0.19367088607594937	7	1.5032669913287637	0.7108600397187355	b'GEOM80a'	0.00014138221740722656	GreedyDSatur
663	0.2098101265822785	5	1.7496218705147086	0.6551933915484377	b'GEOM80b'	0.00013828277587890625	WP
441	0.1101123595505618	5	1.5306106830503234	0.6619389252722586	b'GEOM90'	0.00012183189392089844	WP
789	0.19700374531835205	8	1.4258547000828705	0.7029612618336762	b'GEOM90a'	0.00016045570373535156	GreedyDSatur
860	0.21473158551810237	6	1.7790688365337484	0.674063760497843	b'GEOM90b'	0.00016427040100097656	WP
1629	0.010370511841100076	0	17.046931972594116	0.40434658488628195	b'homer'	0.0005970001220703125	WP
541	0.04906584436785779	4	5.095187068550155	0.0	b'2-Insertions_4'	0.00014591217041015625	WP
301	0.1114402073306183	1	6.514942157712298	0.7735417220747848	b'huck'	9.250640869140625e-05	WP
18707	0.050177567486373975	0	11.592663169920089	0.5153068860892586	b'inithx.i.1'	0.0029931068420410156	GreedyLF
13979	0.06730704415234243	0	12.481040113645156	0.710034410496699	b'inithx.i.2'	0.002209901809692383	WP
13969	0.07256246428756948	0	12.047459559928274	0.7374898615400193	b'inithx.i.3'	0.002185821533203125	GreedyLF
